ID,INSTANCE_SIZE,METHOD,TIME,SOLUTION
POUZA3,P,HEURISTIC,84.95,85769.38
POUZA3,P,WARM START,4847.1,78256.98
POUZA3,P,BIG M,30526.38,78361.65
PPTSLI,P,HEURISTIC,75.13,88382.41
PPTSLI,P,WARM START,2169.9,81335.22
PPTSLI,P,BIG M,30269.74,80500.06
PFPKZK,P,HEURISTIC,91.29,83542.44
PFPKZK,P,WARM START,1478.39,76554.07
PFPKZK,P,BIG M,26503.6,76460.24
P9T150,P,HEURISTIC,73.29,90322.52
P9T150,P,WARM START,1848.39,83204.17
P9T150,P,BIG M,16655.51,83093.7
PQG100,P,HEURISTIC,115.01,89384.19
PQG100,P,WARM START,879.92,81884.72
PQG100,P,BIG M,16089.34,81950.98
PAZ2O5,P,HEURISTIC,92.88,84923.65
PAZ2O5,P,WARM START,2311.09,77599.22
PAZ2O5,P,BIG M,23321.9,77521.27
PKRGX2,P,HEURISTIC,61.86,87471.55
PKRGX2,P,WARM START,1563.42,79791.74
PKRGX2,P,BIG M,12079.67,79431.77
P2JCTX,P,HEURISTIC,83.19,83189.67
P2JCTX,P,WARM START,1059.97,77430.04
P2JCTX,P,BIG M,26589.72,76603.36
PFRASV,P,HEURISTIC,94.56,90251.59
PFRASV,P,WARM START,1308.78,83180.01
PFRASV,P,BIG M,11982.72,82780.43
PVV1SY,P,HEURISTIC,77.88,86617.26
PVV1SY,P,WARM START,933.85,79900.91
PVV1SY,P,BIG M,20025.76,79123.32
PSJ4XD,P,HEURISTIC,77.62,82962.4
PSJ4XD,P,WARM START,3646.62,76076.18
PSJ4XD,P,BIG M,20351.74,75806.85
PRMMPK,P,HEURISTIC,66.63,89635.16
PRMMPK,P,WARM START,1746.79,83051.4
PRMMPK,P,BIG M,14379.79,82378.52
PE7TA9,P,HEURISTIC,90.19,85085.31
PE7TA9,P,WARM START,1142.18,77818.67
PE7TA9,P,BIG M,19755.33,77993.9
PS0ZW7,P,HEURISTIC,70.15,86067.92
PS0ZW7,P,WARM START,1179.76,78748.49
PS0ZW7,P,BIG M,10333.52,78487.37
PQQ7HY,P,HEURISTIC,81.86,93526.92
PQQ7HY,P,WARM START,1450.31,86225.74
PQQ7HY,P,BIG M,15926.0,86071.15
P2HN6O,P,HEURISTIC,87.1,84963.02
P2HN6O,P,WARM START,1399.58,78399.38
P2HN6O,P,BIG M,13086.87,78237.84
PA2M22,P,HEURISTIC,69.02,85513.64
PA2M22,P,WARM START,2565.9,78124.61
PA2M22,P,BIG M,43202.38,77741.3
P7XK0B,P,HEURISTIC,78.68,81835.32
P7XK0B,P,WARM START,3872.31,76115.84
P7XK0B,P,BIG M,16539.06,75619.98
POV362,P,HEURISTIC,84.45,90365.1
POV362,P,WARM START,4562.0,82539.33
POV362,P,BIG M,11948.98,82916.52
PFHB3A,P,HEURISTIC,78.03,83470.73
PFHB3A,P,WARM START,2236.99,76331.46
PFHB3A,P,BIG M,21259.11,76468.67
SIGRX0,S,HEURISTIC,11.73,52980.81
SIGRX0,S,WARM START,229.54,47758.97
SIGRX0,S,BIG M,324.25,47723.02
S5JRRX,S,HEURISTIC,11.9,55983.84
S5JRRX,S,WARM START,1084.73,50167.48
S5JRRX,S,BIG M,3499.64,50167.48
S9VG2I,S,HEURISTIC,13.61,51627.7
S9VG2I,S,WARM START,202.95,46379.81
S9VG2I,S,BIG M,1607.27,46482.74
ST2F8P,S,HEURISTIC,15.02,50872.78
ST2F8P,S,WARM START,495.48,46154.17
ST2F8P,S,BIG M,2166.07,46176.79
SJ6XUO,S,HEURISTIC,12.58,52418.95
SJ6XUO,S,WARM START,230.05,47039.81
SJ6XUO,S,BIG M,629.06,47049.98
SMFMEI,S,HEURISTIC,11.68,44053.31
SMFMEI,S,WARM START,878.96,39309.95
SMFMEI,S,BIG M,972.71,39272.29
STUXBX,S,HEURISTIC,12.58,46159.11
STUXBX,S,WARM START,1229.71,41798.68
STUXBX,S,BIG M,1702.0,41791.35
SNEMFH,S,HEURISTIC,13.33,51897.82
SNEMFH,S,WARM START,993.79,46781.42
SNEMFH,S,BIG M,1187.99,46781.47
S3AMLQ,S,HEURISTIC,12.68,54880.66
S3AMLQ,S,WARM START,529.52,49590.79
S3AMLQ,S,BIG M,820.16,49610.29
S7MXS0,S,HEURISTIC,12.14,49722.63
S7MXS0,S,WARM START,136.43,44016.5
S7MXS0,S,BIG M,458.58,44028.61
SULX7X,S,HEURISTIC,9.67,47400.71
SULX7X,S,WARM START,154.15,41591.09
SULX7X,S,BIG M,557.04,41591.09
S3KL7Q,S,HEURISTIC,12.64,46474.09
S3KL7Q,S,WARM START,343.42,41500.14
S3KL7Q,S,BIG M,1677.14,41499.58
SAY4YR,S,HEURISTIC,12.8,46485.63
SAY4YR,S,WARM START,669.91,40615.75
SAY4YR,S,BIG M,1021.29,40628.71
SFIAQK,S,HEURISTIC,11.72,45673.17
SFIAQK,S,WARM START,570.52,40629.0
SFIAQK,S,BIG M,438.16,40640.35
S87DLS,S,HEURISTIC,16.86,50072.18
S87DLS,S,WARM START,1273.67,45351.17
S87DLS,S,BIG M,1162.7,45356.29
SD5Y6V,S,HEURISTIC,11.07,47110.78
SD5Y6V,S,WARM START,240.54,41007.1
SD5Y6V,S,BIG M,621.09,41005.65
S8OYKH,S,HEURISTIC,10.34,49821.48
S8OYKH,S,WARM START,189.92,43799.91
S8OYKH,S,BIG M,230.38,43799.91
S88QE6,S,HEURISTIC,12.71,45296.32
S88QE6,S,WARM START,820.57,40649.4
S88QE6,S,BIG M,1317.18,40644.25
S31R5B,S,HEURISTIC,11.88,52110.37
S31R5B,S,WARM START,2895.4,47296.91
S31R5B,S,BIG M,3543.7,47282.66
SSP5KF,S,HEURISTIC,12.24,49457.2
SSP5KF,S,WARM START,1213.55,44588.4
SSP5KF,S,BIG M,1352.87,44588.4
SW7YR2,S,HEURISTIC,11.02,47461.98
SW7YR2,S,WARM START,409.26,41679.52
SW7YR2,S,BIG M,1605.64,41679.52
SVLR6L,S,HEURISTIC,9.75,45334.72
SVLR6L,S,WARM START,366.13,40352.55
SVLR6L,S,BIG M,951.89,40352.55
SWTNUP,S,HEURISTIC,16.02,45311.4
SWTNUP,S,WARM START,551.72,39818.99
SWTNUP,S,BIG M,1226.17,39825.99
SRZJZ9,S,HEURISTIC,11.49,48379.03
SRZJZ9,S,WARM START,835.64,43127.91
SRZJZ9,S,BIG M,1048.02,43121.01
S1HIO2,S,HEURISTIC,13.97,45807.79
S1HIO2,S,WARM START,645.51,41136.43
S1HIO2,S,BIG M,1517.18,41127.98
SP9PJ5,S,HEURISTIC,11.38,60726.3
SP9PJ5,S,WARM START,437.42,54836.35
SP9PJ5,S,BIG M,1206.32,54812.14
SISHUB,S,HEURISTIC,13.54,48391.65
SISHUB,S,WARM START,1101.05,43859.88
SISHUB,S,BIG M,2087.66,43859.88
S69U5I,S,HEURISTIC,10.59,45965.26
S69U5I,S,WARM START,1648.57,40718.82
S69U5I,S,BIG M,2917.91,40739.27
SQLS10,S,HEURISTIC,18.11,46394.19
SQLS10,S,WARM START,489.16,42048.93
SQLS10,S,BIG M,1862.5,42046.54
S1MRDE,S,HEURISTIC,13.53,51485.33
S1MRDE,S,WARM START,830.54,46060.92
S1MRDE,S,BIG M,2079.08,46069.92
S00EVS,S,HEURISTIC,13.11,56379.55
S00EVS,S,WARM START,1100.87,50225.99
S00EVS,S,BIG M,2351.89,50152.19
SW93OA,S,HEURISTIC,16.37,50498.5
SW93OA,S,WARM START,3821.78,46415.91
SW93OA,S,BIG M,3643.3,46419.7
