ID,INSTANCE_SIZE,HEURISTIC,WARM START,BIG M
TestW0WB6,Test,1.0384883659035495,1.0,1.0
TestDFNK1,Test,1.0646158365141611,1.0075760670748262,1.0
TestATYMU,Test,1.0314423340923207,1.0,1.0
Test6T6NK,Test,1.06799695402314,1.0,1.0
TestCPQVM,Test,1.075612227961688,1.0,1.0
Test3UEPE,Test,1.0773338395291476,1.0,1.0
TestPZ4KA,Test,1.0151702651349113,1.0,1.0
Test1OJ6M,Test,1.0314785900624459,1.0,1.0
Test84IDD,Test,1.0550480858414524,1.0,1.0
PPTSLI,P,1.0979173183224957,1.0103746506524343,1.0
PFPKZK,P,1.0926259190397518,1.0012271737572365,1.0
PQG100,P,1.0915857073212194,1.0,1.0008091863781179
PAZ2O5,P,1.0954883737069838,1.0010055304821501,1.0
PFRASV,P,1.0902527324392977,1.004826986281661,1.0
PVV1SY,P,1.0947121531300759,1.0098275704305633,1.0
PE7TA9,P,1.0933791338248264,1.0,1.0022517732569831
P2HN6O,P,1.0859581501738802,1.0020647298033791,1.0
P7XK0B,P,1.0821917699528618,1.0065572617183978,1.0
POV362,P,1.0948126184208185,1.0,1.0045698214414873
SIGRX0,S,1.1101730359897592,1.0007533052183204,1.0
S5JRRX,S,1.1159388512239401,1.0,1.0
S9VG2I,S,1.1131503126036955,1.0,1.0022192846413127
ST2F8P,S,1.1022358326452411,1.0,1.0004900965611558
SMFMEI,S,1.1217402906731437,1.0009589458623369,1.0
SNEMFH,S,1.109368206437513,1.0,1.0000010688003913
S3AMLQ,S,1.106670411985774,1.0,1.0003932181761976
S7MXS0,S,1.1296361591675848,1.0,1.0002751241011894
SULX7X,S,1.1396842448707163,1.0,1.0
S3KL7Q,S,1.1198689239746522,1.0000134941124705,1.0
SAY4YR,S,1.1445222604531493,1.0,1.0003190880385071
S8OYKH,S,1.1374790496144855,1.0,1.0
SSP5KF,S,1.1091943195988194,1.0,1.0
SW7YR2,S,1.1387362426438694,1.0,1.0
SVLR6L,S,1.1234660510921861,1.0,1.0
SWTNUP,S,1.1379344378147211,1.0,1.000175795518671
SRZJZ9,S,1.1219363832155136,1.0001600148048482,1.0
S1HIO2,S,1.1137865268364748,1.000205456236849,1.0
SP9PJ5,S,1.1078987246256031,1.0004416904722202,1.0
S69U5I,S,1.1288455804957021,1.0,1.0005022247697748
S1MRDE,S,1.1177659933844135,1.0,1.0001953934050818
S00EVS,S,1.1241692536258137,1.0014715209844276,1.0
