ID,INSTANCE_SIZE,HEURISTIC,WARM START,BIG M
TestW0WB6,Test,2.5161290322580641,3.182795698924731,1.0
TestDFNK1,Test,1.1633663366336633,1.8514851485148516,1.0
TestATYMU,Test,1.0,1.2817460317460316,1.0634920634920635
Test6T6NK,Test,1.3800904977375565,2.2624434389140271,1.0
TestCPQVM,Test,1.0,1.806122448979592,3.3265306122448979
Test3UEPE,Test,3.1067961165048543,4.6019417475728153,1.0
TestPZ4KA,Test,1.3592592592592592,1.8296296296296297,1.0
Test1OJ6M,Test,2.234375,2.9765625,1.0
Test84IDD,Test,1.0,2.4076086956521738,1.3749999999999998
PPTSLI,P,1.0,28.881937974178093,402.89817649407701
PFPKZK,P,1.0,16.194435316025853,290.32314601818376
PQG100,P,1.0,7.6508129727849745,139.89513955308234
PAZ2O5,P,1.0,24.882536606373819,251.0971145564169
PFRASV,P,1.0,13.840736040609137,126.72081218274111
PVV1SY,P,1.0,11.990883410374936,257.13610683102206
PE7TA9,P,1.0,12.664153453819715,219.04124625790001
P2HN6O,P,1.0,16.068656716417912,150.25109070034446
P7XK0B,P,1.0,49.215937976614129,210.20665988815455
POV362,P,1.0,54.020130254588516,141.49177027827116
SIGRX0,S,1.0,19.56862745098039,27.642796248934356
S5JRRX,S,1.0,91.153781512605036,294.08739495798318
S9VG2I,S,1.0,14.911829537105069,118.09478324761206
ST2F8P,S,1.0,32.988015978695074,144.21238348868178
SMFMEI,S,1.0,75.253424657534254,83.279965753424662
SNEMFH,S,1.0,74.552888222055515,89.121530382595651
S3AMLQ,S,1.0,41.760252365930597,64.681388012618299
S7MXS0,S,1.0,11.238056013179571,37.774299835255349
SULX7X,S,1.0,15.94105480868666,57.604963805584276
S3KL7Q,S,1.0,27.169303797468356,132.68512658227849
SAY4YR,S,1.0,52.336718749999996,79.788281249999997
S8OYKH,S,1.0,18.367504835589941,22.280464216634428
SSP5KF,S,1.0,99.14624183006535,110.52859477124181
SW7YR2,S,1.0,37.137931034482762,145.70235934664248
SVLR6L,S,1.0,37.551794871794868,97.629743589743583
SWTNUP,S,1.0,34.439450686641699,76.53995006242198
SRZJZ9,S,1.0,72.727589208006961,91.211488250652735
S1HIO2,S,1.0,46.206871868289191,108.60272011453114
SP9PJ5,S,1.0,38.437609841827765,106.00351493848856
S69U5I,S,1.0,155.67233238904626,275.53446647780925
S1MRDE,S,1.0,61.385070214338505,153.66444937176644
S00EVS,S,1.0,83.971777269260102,179.39664378337147
